code,country,birth_year,crossed,cross_age,max_obs_age,final_ccfr,status
ALB,Albania,1940,TRUE,27,50,4.713799999999998,crossed
ALB,Albania,1941,TRUE,27,50,4.71244,crossed
ALB,Albania,1942,TRUE,27,50,4.689689999999999,crossed
ALB,Albania,1943,TRUE,27,50,4.61683,crossed
ALB,Albania,1944,TRUE,27,50,4.480309999999999,crossed
ALB,Albania,1945,TRUE,27,50,4.314650000000001,crossed
ALB,Albania,1946,TRUE,27,50,4.18581,crossed
ALB,Albania,1947,TRUE,27,50,4.10754,crossed
ALB,Albania,1948,TRUE,27,50,4.04403,crossed
ALB,Albania,1949,TRUE,27,50,3.97174,crossed
ALB,Albania,1950,TRUE,28,50,3.879209999999999,crossed
ALB,Albania,1951,TRUE,28,50,3.76467,crossed
ALB,Albania,1952,TRUE,28,50,3.6328399999999994,crossed
ALB,Albania,1953,TRUE,28,50,3.4947900000000005,crossed
ALB,Albania,1954,TRUE,29,50,3.377940000000001,crossed
ALB,Albania,1955,TRUE,29,50,3.263770000000001,crossed
ALB,Albania,1956,TRUE,29,50,3.17104,crossed
ALB,Albania,1957,TRUE,30,50,3.09631,crossed
ALB,Albania,1958,TRUE,30,50,3.0390199999999994,crossed
ALB,Albania,1959,TRUE,30,49,2.9945100000000013,crossed
ALB,Albania,1960,TRUE,30,48,2.95757,crossed
ALB,Albania,1961,TRUE,30,47,2.911749999999999,crossed
ALB,Albania,1962,TRUE,30,46,2.84439,crossed
ALB,Albania,1963,TRUE,31,45,2.74704,crossed
ALB,Albania,1964,TRUE,31,44,2.633959999999999,crossed
ALB,Albania,1965,TRUE,32,43,2.52906,crossed
ALB,Albania,1966,TRUE,32,42,2.45177,crossed
ALB,Albania,1967,TRUE,33,41,2.40113,crossed
ALB,Albania,1968,TRUE,33,40,2.37362,crossed
ALB,Albania,1969,TRUE,33,39,2.3591499999999996,crossed
ALB,Albania,1970,TRUE,33,38,2.3420199999999998,crossed
ALB,Albania,1971,TRUE,33,37,2.30204,crossed
ALB,Albania,1972,TRUE,33,36,2.21971,crossed
ALB,Albania,1973,TRUE,34,35,2.0970199999999997,crossed
ALB,Albania,1974,FALSE,NA,34,1.9436599999999995,censored
ALB,Albania,1975,FALSE,NA,33,1.7606199999999999,censored
ALB,Albania,1976,FALSE,NA,32,1.5660299999999998,censored
ALB,Albania,1977,FALSE,NA,31,1.39206,censored
ALB,Albania,1978,FALSE,NA,30,1.24928,censored
ALB,Albania,1979,FALSE,NA,29,1.11336,censored
ALB,Albania,1980,FALSE,NA,28,0.9615200000000002,censored
ALB,Albania,1981,FALSE,NA,27,0.78731,censored
ALB,Albania,1982,FALSE,NA,26,0.6428499999999999,censored
ALB,Albania,1983,FALSE,NA,25,0.50474,censored
ALB,Albania,1984,FALSE,NA,24,0.37517,censored
ALB,Albania,1985,FALSE,NA,23,0.26745,censored
ALB,Albania,1986,FALSE,NA,22,0.17795000000000002,censored
ALB,Albania,1987,FALSE,NA,21,0.10848,censored
ALB,Albania,1988,FALSE,NA,20,0.06011,censored
ALB,Albania,1989,FALSE,NA,19,0.03005,censored
ALB,Albania,1990,FALSE,NA,18,0.0146,censored
ALB,Albania,1991,FALSE,NA,17,0.00621,censored
ALB,Albania,1992,FALSE,NA,16,0.00384,censored
ALB,Albania,1993,FALSE,NA,15,8.5e-4,censored
AUS,Australia,1906,TRUE,38,50,2.3184400000000003,crossed
AUS,Australia,1907,TRUE,38,50,2.3158800000000004,crossed
AUS,Australia,1908,TRUE,38,50,2.31806,crossed
AUS,Australia,1909,TRUE,38,50,2.3238799999999995,crossed
AUS,Australia,1910,TRUE,38,50,2.3338999999999994,crossed
AUS,Australia,1911,TRUE,37,50,2.34769,crossed
AUS,Australia,1912,TRUE,37,50,2.36667,crossed
AUS,Australia,1913,TRUE,37,50,2.3915300000000004,crossed
AUS,Australia,1914,TRUE,36,50,2.4219799999999996,crossed
AUS,Australia,1915,TRUE,36,50,2.4568600000000003,crossed
AUS,Australia,1916,TRUE,35,50,2.4951999999999996,crossed
AUS,Australia,1917,TRUE,35,50,2.53568,crossed
AUS,Australia,1918,TRUE,34,50,2.5760399999999994,crossed
AUS,Australia,1919,TRUE,34,50,2.6161200000000004,crossed
AUS,Australia,1920,TRUE,34,50,2.6566000000000005,crossed
AUS,Australia,1921,TRUE,33,50,2.696370000000001,crossed
AUS,Australia,1922,TRUE,33,50,2.734039999999999,crossed
AUS,Australia,1923,TRUE,33,50,2.769110000000001,crossed
AUS,Australia,1924,TRUE,32,50,2.8031799999999993,crossed
AUS,Australia,1925,TRUE,32,50,2.83995,crossed
AUS,Australia,1926,TRUE,32,50,2.88136,crossed
AUS,Australia,1927,TRUE,31,50,2.92607,crossed
AUS,Australia,1928,TRUE,31,50,2.97244,crossed
AUS,Australia,1929,TRUE,30,50,3.0184300000000004,crossed
AUS,Australia,1930,TRUE,30,50,3.0594900000000003,crossed
AUS,Australia,1931,TRUE,30,50,3.0938200000000005,crossed
AUS,Australia,1932,TRUE,29,50,3.116079999999999,crossed
AUS,Australia,1933,TRUE,29,50,3.1232699999999998,crossed
AUS,Australia,1934,TRUE,29,50,3.114979999999999,crossed
AUS,Australia,1935,TRUE,29,50,3.093419999999999,crossed
AUS,Australia,1936,TRUE,29,50,3.056270000000001,crossed
AUS,Australia,1937,TRUE,29,50,3.0107300000000006,crossed
AUS,Australia,1938,TRUE,29,50,2.957229999999999,crossed
AUS,Australia,1939,TRUE,29,50,2.898760000000001,crossed
AUS,Australia,1940,TRUE,29,50,2.83178,crossed
AUS,Australia,1941,TRUE,30,50,2.7537999999999996,crossed
AUS,Australia,1942,TRUE,30,50,2.677770000000001,crossed
AUS,Australia,1943,TRUE,30,50,2.6121399999999997,crossed
AUS,Australia,1944,TRUE,31,50,2.53929,crossed
AUS,Australia,1945,TRUE,31,50,2.4945700000000013,crossed
AUS,Australia,1946,TRUE,31,50,2.455230000000001,crossed
AUS,Australia,1947,TRUE,32,50,2.4013600000000004,crossed
AUS,Australia,1948,TRUE,32,50,2.3965600000000005,crossed
AUS,Australia,1949,TRUE,33,50,2.3795699999999997,crossed
AUS,Australia,1950,TRUE,33,50,2.3765100000000015,crossed
AUS,Australia,1951,TRUE,34,50,2.3371200000000014,crossed
AUS,Australia,1952,TRUE,34,50,2.33576,crossed
AUS,Australia,1953,TRUE,35,50,2.31,crossed
AUS,Australia,1954,TRUE,35,50,2.2847300000000006,crossed
AUS,Australia,1955,TRUE,36,50,2.2640499999999992,crossed
AUS,Australia,1956,TRUE,37,50,2.2190000000000003,crossed
AUS,Australia,1957,TRUE,36,50,2.235360000000001,crossed
AUS,Australia,1958,TRUE,37,50,2.2220199999999997,crossed
AUS,Australia,1959,TRUE,38,50,2.18842,crossed
AUS,Australia,1960,TRUE,38,50,2.16751,crossed
AUS,Australia,1961,TRUE,39,50,2.1344,crossed
AUS,Australia,1962,TRUE,39,50,2.1410500000000003,crossed
AUS,Australia,1963,TRUE,40,50,2.1226000000000003,crossed
AUS,Australia,1964,TRUE,41,50,2.0914699999999997,crossed
AUS,Australia,1965,TRUE,43,50,2.07347,crossed
AUS,Australia,1966,TRUE,49,50,2.0506199999999994,crossed
AUS,Australia,1967,TRUE,47,50,2.0523599999999997,crossed
AUS,Australia,1968,FALSE,NA,50,2.0451200000000003,never
AUS,Australia,1969,FALSE,NA,50,2.03302,never
AUS,Australia,1970,FALSE,NA,50,2.0164999999999997,never
AUS,Australia,1971,FALSE,NA,50,1.9722200000000003,never
AUS,Australia,1972,FALSE,NA,50,2.00615,never
AUS,Australia,1973,FALSE,NA,50,2.0097400000000003,never
AUS,Australia,1974,FALSE,NA,50,1.9916300000000002,never
AUS,Australia,1975,FALSE,NA,49,1.9968999999999997,never
AUS,Australia,1976,FALSE,NA,48,1.9813300000000003,never
AUS,Australia,1977,FALSE,NA,47,1.9705499999999998,never
AUS,Australia,1978,FALSE,NA,46,1.96636,never
AUS,Australia,1979,FALSE,NA,45,1.9614,never
AUS,Australia,1980,FALSE,NA,44,1.9265999999999999,never
AUS,Australia,1981,FALSE,NA,43,1.9105699999999997,censored
AUS,Australia,1982,FALSE,NA,42,1.8951199999999997,censored
AUS,Australia,1983,FALSE,NA,41,1.8491499999999998,censored
AUS,Australia,1984,FALSE,NA,40,1.8108700000000002,censored
AUS,Australia,1985,FALSE,NA,39,1.74577,censored
AUS,Australia,1986,FALSE,NA,38,1.67825,censored
AUS,Australia,1987,FALSE,NA,37,1.6006500000000001,censored
AUS,Australia,1988,FALSE,NA,36,1.4926100000000002,censored
AUS,Australia,1989,FALSE,NA,35,1.36931,censored
AUS,Australia,1990,FALSE,NA,34,1.2390100000000002,censored
AUS,Australia,1991,FALSE,NA,33,1.10502,censored
AUS,Australia,1992,FALSE,NA,32,0.9721899999999999,censored
AUS,Australia,1993,FALSE,NA,31,0.8333299999999999,censored
AUS,Australia,1994,FALSE,NA,30,0.7025399999999998,censored
AUS,Australia,1995,FALSE,NA,29,0.58657,censored
AUS,Australia,1996,FALSE,NA,28,0.48091999999999996,censored
AUS,Australia,1997,FALSE,NA,27,0.38368,censored
AUS,Australia,1998,FALSE,NA,26,0.30241,censored
AUS,Australia,1999,FALSE,NA,25,0.23464000000000002,censored
AUS,Australia,2000,FALSE,NA,24,0.17443999999999998,censored
AUS,Australia,2001,FALSE,NA,23,0.12544,censored
AUS,Australia,2002,FALSE,NA,22,0.08971000000000001,censored
AUS,Australia,2003,FALSE,NA,21,0.05843999999999999,censored
AUS,Australia,2004,FALSE,NA,20,0.03241,censored
AUS,Australia,2005,FALSE,NA,19,0.017070000000000002,censored
AUS,Australia,2006,FALSE,NA,18,0.00839,censored
AUS,Australia,2007,FALSE,NA,17,0.00344,censored
AUS,Australia,2008,FALSE,NA,16,0.00118,censored
AUS,Australia,2009,FALSE,NA,15,1.8e-4,censored
AUT,Austria,1936,TRUE,33,55,2.434649999999999,crossed
AUT,Austria,1937,TRUE,33,55,2.4274800000000005,crossed
AUT,Austria,1938,TRUE,33,55,2.385890000000001,crossed
AUT,Austria,1939,TRUE,34,55,2.2450799999999997,crossed
AUT,Austria,1940,TRUE,36,55,2.1642500000000005,crossed
AUT,Austria,1941,TRUE,38,55,2.1123200000000004,crossed
AUT,Austria,1942,TRUE,46,55,2.0508800000000007,crossed
AUT,Austria,1943,FALSE,NA,55,2.01646,never
AUT,Austria,1944,FALSE,NA,55,1.9675399999999998,never
AUT,Austria,1945,FALSE,NA,55,1.9216599999999995,never
AUT,Austria,1946,FALSE,NA,55,1.9784899999999996,never
AUT,Austria,1947,FALSE,NA,55,1.95459,never
AUT,Austria,1948,FALSE,NA,55,1.9347299999999994,never
AUT,Austria,1949,FALSE,NA,55,1.9045600000000003,never
AUT,Austria,1950,FALSE,NA,55,1.8919,never
AUT,Austria,1951,FALSE,NA,55,1.8516999999999997,never
AUT,Austria,1952,FALSE,NA,55,1.82581,never
AUT,Austria,1953,FALSE,NA,55,1.81375,never
AUT,Austria,1954,FALSE,NA,55,1.8062500000000004,never
AUT,Austria,1955,FALSE,NA,55,1.77846,never
AUT,Austria,1956,FALSE,NA,55,1.7589399999999997,never
AUT,Austria,1957,FALSE,NA,55,1.73635,never
AUT,Austria,1958,FALSE,NA,55,1.71824,never
AUT,Austria,1959,FALSE,NA,55,1.7140999999999997,never
AUT,Austria,1960,FALSE,NA,55,1.7060699999999993,never
AUT,Austria,1961,FALSE,NA,55,1.6865300000000008,never
AUT,Austria,1962,FALSE,NA,55,1.6782,never
AUT,Austria,1963,FALSE,NA,55,1.6665,never
AUT,Austria,1964,FALSE,NA,55,1.6684600000000005,never
AUT,Austria,1965,FALSE,NA,55,1.65558,never
AUT,Austria,1966,FALSE,NA,55,1.6503100000000002,never
AUT,Austria,1967,FALSE,NA,55,1.62768,never
AUT,Austria,1968,FALSE,NA,55,1.61308,never
AUT,Austria,1969,FALSE,NA,54,1.6118400000000002,never
AUT,Austria,1970,FALSE,NA,53,1.6195599999999999,never
AUT,Austria,1971,FALSE,NA,52,1.6314599999999995,never
AUT,Austria,1972,FALSE,NA,51,1.6455999999999995,never
AUT,Austria,1973,FALSE,NA,50,1.6576799999999998,never
AUT,Austria,1974,FALSE,NA,50,1.6633299999999998,never
AUT,Austria,1975,FALSE,NA,49,1.6519600000000003,never
AUT,Austria,1976,FALSE,NA,48,1.6451799999999996,never
AUT,Austria,1977,FALSE,NA,47,1.6439399999999995,never
AUT,Austria,1978,FALSE,NA,46,1.6303900000000002,never
AUT,Austria,1979,FALSE,NA,45,1.6399400000000004,never
AUT,Austria,1980,FALSE,NA,44,1.6258599999999996,never
AUT,Austria,1981,FALSE,NA,43,1.60891,censored
AUT,Austria,1982,FALSE,NA,42,1.59547,censored
AUT,Austria,1983,FALSE,NA,41,1.5617300000000003,censored
AUT,Austria,1984,FALSE,NA,40,1.5450999999999997,censored
AUT,Austria,1985,FALSE,NA,39,1.50175,censored
AUT,Austria,1986,FALSE,NA,38,1.4463,censored
AUT,Austria,1987,FALSE,NA,37,1.3952199999999997,censored
AUT,Austria,1988,FALSE,NA,36,1.3081599999999998,censored
AUT,Austria,1989,FALSE,NA,35,1.2243899999999999,censored
AUT,Austria,1990,FALSE,NA,34,1.12563,censored
AUT,Austria,1991,FALSE,NA,33,1.00748,censored
AUT,Austria,1992,FALSE,NA,32,0.8886999999999998,censored
AUT,Austria,1993,FALSE,NA,31,0.77035,censored
AUT,Austria,1994,FALSE,NA,30,0.65026,censored
AUT,Austria,1995,FALSE,NA,29,0.5378499999999999,censored
AUT,Austria,1996,FALSE,NA,28,0.43846,censored
AUT,Austria,1997,FALSE,NA,27,0.33875999999999995,censored
AUT,Austria,1998,FALSE,NA,26,0.25708,censored
AUT,Austria,1999,FALSE,NA,25,0.19130999999999998,censored
AUT,Austria,2000,FALSE,NA,24,0.13783,censored
AUT,Austria,2001,FALSE,NA,23,0.09282,censored
AUT,Austria,2002,FALSE,NA,22,0.05888,censored
