code,year,age,asfr,source
ALB,1956,34,0.26983,hfc
ALB,1956,35,0.26172,hfc
ALB,1956,36,0.25042,hfc
ALB,1956,37,0.2356,hfc
ALB,1956,38,0.21727,hfc
ALB,1956,39,0.19584,hfc
ALB,1956,40,0.17209,hfc
ALB,1956,41,0.14709,hfc
ALB,1956,42,0.12203,hfc
ALB,1956,43,0.09809,hfc
ALB,1956,44,0.07628,hfc
ALB,1956,45,0.0573,hfc
ALB,1956,46,0.04152,hfc
ALB,1956,47,0.02899,hfc
ALB,1956,48,0.01947,hfc
ALB,1956,49,0.01796,hfc
ALB,1956,50,0.01243,hfc
ALB,1957,14,4.4e-4,hfc
ALB,1957,15,0.00382,hfc
ALB,1957,16,0.01616,hfc
ALB,1957,17,0.04322,hfc
ALB,1957,18,0.08402,hfc
ALB,1957,19,0.13109,hfc
ALB,1957,20,0.17573,hfc
ALB,1957,21,0.21213,hfc
ALB,1957,22,0.2383,hfc
ALB,1957,23,0.25504,hfc
ALB,1957,24,0.26446,hfc
ALB,1957,25,0.26893,hfc
ALB,1957,26,0.2705,hfc
ALB,1957,27,0.27067,hfc
ALB,1957,28,0.27038,hfc
ALB,1957,29,0.27006,hfc
ALB,1957,30,0.26967,hfc
ALB,1957,31,0.26888,hfc
ALB,1957,32,0.26706,hfc
ALB,1957,33,0.26349,hfc
ALB,1957,34,0.25739,hfc
ALB,1957,35,0.2481,hfc
ALB,1957,36,0.23519,hfc
ALB,1957,37,0.21856,hfc
ALB,1957,38,0.19851,hfc
ALB,1957,39,0.17576,hfc
ALB,1957,40,0.15133,hfc
ALB,1957,41,0.12644,hfc
ALB,1957,42,0.10233,hfc
ALB,1957,43,0.08009,hfc
ALB,1957,44,0.06053,hfc
ALB,1957,45,0.04411,hfc
ALB,1957,46,0.03096,hfc
ALB,1957,47,0.0209,hfc
ALB,1957,48,0.01355,hfc
ALB,1957,49,0.01166,hfc
ALB,1957,50,0.00774,hfc
ALB,1958,14,4e-4,hfc
ALB,1958,15,0.00347,hfc
ALB,1958,16,0.01508,hfc
ALB,1958,17,0.04158,hfc
ALB,1958,18,0.08327,hfc
ALB,1958,19,0.1335,hfc
ALB,1958,20,0.18322,hfc
ALB,1958,21,0.22554,hfc
ALB,1958,22,0.25737,hfc
ALB,1958,23,0.27874,hfc
ALB,1958,24,0.29139,hfc
ALB,1958,25,0.29765,hfc
ALB,1958,26,0.29968,hfc
ALB,1958,27,0.29919,hfc
